Time,Report,"Temperature ºC","Wind Speed km/h","Wind Gust km/h","Wind Direction º","Rainfall mm/h","Pressure hPa"
00:00,"""Recent Drizzle """,10,39,65,180," 0.01 ",1011
01:00,"""Cloudy""",10,52,69,180," 0.0 ",1009
02:00,"""Mist""",10,52,76,180," 0.0 ",1008
03:00,"""Recent Rain""",10,54,80,180," 0.2 ",1006
04:00,"""Rain shower""",10,59,78,180," 0.4 ",1004
05:00,"""Moderate Rain shower""",10,57,74,180," 0.2 ",1003
06:00,"""Rain shower""",11,61,83,180," 0.2 ",1002
07:00,"""Rain shower""",11,65,81,180," 0.1 ",1001
08:00,"""Recent Rain""",11,65,85,225," 0.1 ",1000
09:00,"""Rain shower""",11,69,94,180," 0.01 ",999
10:00,"""Recent Rain""",11,67,93,225," 0.3 ",998
11:00,"""Rain shower""",11,69,100,180," 0.2 ",997
12:00,"""Rain shower""",11,69,98,225," 0.01 ",997
13:00,"""Rain shower""",12,54,87,225," 0.1 ",997
14:00,"""Recent Rain""",11,48,65,225," 0.4 ",997
15:00,"""Recent Rain""",11,46,63,225," 0.3 ",996
16:00,"""Fair""",11,46,63,225," 0.0 ",996
17:00,"""Rain shower""",9,46,78,270," 0.1 ",997
18:00,"""Recent Drizzle """,8,30,61,225," 0.01 ",996
