Time,Report,"Temperature ºC","Wind Speed km/h","Wind Gust km/h","Wind Direction º","Rainfall mm/h","Pressure hPa"
00:00,"""Mist""",9,39,0,270," 0.0 ",1014
01:00,"""Mist""",9,43,61,270," 0.0 ",1013
02:00,"""Mist""",9,44,63,270," 0.0 ",1013
03:00,"""Recent Drizzle """,9,33,63,270," 0.1 ",1013
04:00,"""Mist""",9,35,57,270," 0.0 ",1013
05:00,"""Mist""",10,37,57,270," 0.0 ",1013
06:00,"""Light rain """,9,28,48,270," 0.1 ",1013
07:00,"""Rain shower""",9,31,0,225," 0.1 ",1013
08:00,"""Rain shower""",10,30,48,225," 0.1 ",1012
09:00,"""Rain shower""",10,30,0,225," 0.3 ",1012
10:00,"""Rain shower""",10,31,50,225," 0.6 ",1012
11:00,"""Mist""",11,37,0,225," 0.0 ",1012
12:00,"""Mist""",11,35,57,225," 0.0 ",1012
13:00,"""Mist""",11,37,0,225," 0.0 ",1011
14:00,"""Mist""",11,41,0,225," 0.1 ",1011
15:00,"""Light Drizzle """,11,35,59,225," 0.01 ",1010
16:00,"""Mist""",11,35,0,225," 0.0 ",1010
17:00,"""Mist""",11,39,0,225," 0.0 ",1010
18:00,"""Mist""",11,30,0,225," 0.0 ",1010
19:00,"""Mist""",11,33,0,180," 0.0 ",1009
