Time,Report,"Temperature ºC","Wind Speed km/h","Wind Gust km/h","Wind Direction º","Rainfall mm/h","Pressure hPa"
00:00,"""Mist""",10,31,57,225," 0.0 ",1010
01:00,"""Mist""",11,41,67,225," 0.0 ",1009
02:00,"""Recent Drizzle """,10,50,69,225," 0.01 ",1008
03:00,"""Rain shower""",10,48,65,225," 0.1 ",1006
04:00,"""Recent Drizzle """,11,41,67,225," 0.1 ",1004
05:00,"""Rain shower""",11,44,0,225," 0.2 ",1004
06:00,"""Moderate Drizzle """,11,46,67,225," 0.4 ",1003
07:00,"""Moderate Drizzle """,11,50,67,225," 0.2 ",1002
08:00,"""Mist""",11,52,76,225," 0.0 ",1001
09:00,"""Rain shower""",12,59,83,225," 0.2 ",999
10:00,"""Rain shower""",12,48,81,225," 0.01 ",999
11:00,"""Mist""",12,54,83,225," 0.0 ",998
12:00,"""Mist""",12,56,83,225," 0.0 ",998
13:00,"""Recent Drizzle """,11,39,72,225," 0.1 ",998
14:00,"""Moderate Drizzle """,11,56,69,225," 0.01 ",997
15:00,"""Recent Drizzle """,11,44,69,225," 0.01 ",997
16:00,"""Light rain """,9,54,80,270," 0.4 ",998
17:00,"""Moderate Drizzle """,9,43,76,270," 0.2 ",997
18:00,"""Mist""",10,52,67,225," 0.0 ",997
